      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2012-05-08 19:26:18,      1,       0.77,           0,       0.77,        1.30,        0.00,        1.00,       1,       0
2012-05-08 19:26:23,      2,       0.99,           0,       0.99,        2.02,        0.00,        1.99,       2,       0
2012-05-08 19:26:29,      3,       0.80,           0,       0.78,        3.75,        0.00,        2.91,       3,       0
2012-05-08 19:26:34,      4,       1.00,           0,       0.84,        4.00,        0.00,        3.37,       4,       0
2012-05-08 19:26:39,      8,       0.82,           0,       0.81,        9.76,        0.00,        7.85,       8,       0
2012-05-08 19:26:44,     16,       0.84,           0,       0.82,       19.05,        0.00,       15.70,      16,       0
2012-05-08 19:26:54,     32,       5.82,           0,       1.45,        5.50,        0.00,        7.97,      32,       0
2012-05-08 19:27:07,     64,       5.86,           0,       2.02,       10.92,        0.00,       22.04,      64,       0
2012-05-08 19:27:22,    128,      10.86,           0,       3.33,       11.79,        0.00,       39.19,     128,       0
2012-05-08 19:27:40,    256,      10.89,           1,       2.87,       23.51,        0.09,       67.49,     256,       0
2012-05-08 19:28:00,    512,       6.31,           2,       2.46,       81.14,        0.32,      199.33,     512,       0
